测试ID,测试项名称,测试场景,输入内容,预期输出
LA-001,基础告警列表查询,查询指定业务最近1小时的告警列表,"用户输入：查询业务7最近1小时的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""start_time"": 动态计算(当前时间-3600),
  ""end_time"": 动态计算(当前时间),
  ""page"": 1,
  ""page_size"": 10
}","1. 正确识别使用 list_alerts 工具
2. bk_biz_id 正确传入 ""7""
3. 时间戳动态计算，不使用固定值
4. 返回包含 id、alert_name、status、severity 等字段的告警列表
5. 返回 overview 统计信息"
LA-002,按状态筛选-未恢复告警,查询所有未恢复状态的告警,"用户输入：查看业务7当前所有未恢复的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""status"": [""ABNORMAL""],
  ""start_time"": 动态计算,
  ""end_time"": 动态计算
}","1. 正确理解""未恢复""对应状态值 ""ABNORMAL""
2. status 参数正确设置为数组格式 [""ABNORMAL""]
3. 返回的告警 status 字段均为 ""ABNORMAL""
4. overview 中显示 ABNORMAL 的告警数量"
LA-003,按状态筛选-已恢复告警,查询已恢复状态的告警,"用户输入：查看业务7已恢复的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""status"": [""RECOVERED""]
}","1. 正确理解""已恢复""对应状态值 ""RECOVERED""
2. 返回的告警 status 字段均为 ""RECOVERED"""
LA-004,按状态筛选-已关闭告警,查询已关闭状态的告警,"用户输入：查看业务7已关闭的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""status"": [""CLOSED""]
}","1. 正确理解""已关闭""对应状态值 ""CLOSED""
2. 返回的告警 status 字段均为 ""CLOSED"""
LA-005,多状态筛选,同时查询多个状态的告警,"用户输入：查看业务7未恢复和已恢复的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""status"": [""ABNORMAL"", ""RECOVERED""]
}","1. status 数组包含多个状态值
2. 返回的告警 status 为 ABNORMAL 或 RECOVERED"
LA-006,全文搜索-关键字查询,使用关键字搜索告警,"用户输入：搜索业务7中包含""CPU""的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""query_string"": ""CPU""
}","1. 正确使用 query_string 参数
2. 返回的告警名称或描述中包含""CPU""关键字"
LA-007,全文搜索-中文关键字,使用中文关键字搜索,"用户输入：搜索业务7中关于内存的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""query_string"": ""内存""
}","1. 支持中文关键字搜索
2. 返回相关告警"
LA-008,conditions高级过滤-包含匹配,使用conditions进行模糊匹配,"用户输入：查询业务7告警名称包含""CPU高""的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""alert_name"",
      ""value"": [""CPU高""],
      ""method"": ""include""
    }
  ]
}","1. 正确构造 conditions 数组
2. key 设置为 ""alert_name""
3. method 设置为 ""include""（包含匹配）
4. 返回告警名称包含""CPU高""的告警"
LA-009,conditions高级过滤-精确匹配,使用conditions进行精确匹配,"用户输入：查询业务7告警级别为1（致命）的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""severity"",
      ""value"": [""1""],
      ""method"": ""eq""
    }
  ]
}","1. method 设置为 ""eq""（精确匹配）
2. 返回的告警 severity 均为 1"
LA-010,conditions高级过滤-不等于,使用neq排除某些告警,"用户输入：查询业务7非致命级别的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""severity"",
      ""value"": [""1""],
      ""method"": ""neq""
    }
  ]
}","1. method 设置为 ""neq""（不等于）
2. 返回的告警 severity 不为 1"
LA-011,conditions高级过滤-不包含,使用exclude排除某些告警,"用户输入：查询业务7告警名称不包含""测试""的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""alert_name"",
      ""value"": [""测试""],
      ""method"": ""exclude""
    }
  ]
}","1. method 设置为 ""exclude""（不包含）
2. 返回的告警名称中不包含""测试"""
LA-012,conditions组合条件-AND逻辑,使用AND连接多个条件,"用户输入：查询业务7告警名称包含""CPU""且级别为1的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""alert_name"",
      ""value"": [""CPU""],
      ""method"": ""include"",
      ""condition"": ""and""
    },
    {
      ""key"": ""severity"",
      ""value"": [""1""],
      ""method"": ""eq""
    }
  ]
}","1. 第一个条件的 condition 设置为 ""and""
2. 返回同时满足两个条件的告警"
LA-013,conditions组合条件-OR逻辑,使用OR连接多个条件,"用户输入：查询业务7告警名称包含""CPU""或""内存""的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""alert_name"",
      ""value"": [""CPU""],
      ""method"": ""include"",
      ""condition"": ""or""
    },
    {
      ""key"": ""alert_name"",
      ""value"": [""内存""],
      ""method"": ""include""
    }
  ]
}","1. 使用 ""or"" 逻辑连接
2. 返回满足任一条件的告警"
LA-014,conditions多值匹配,在单个条件中匹配多个值,"用户输入：查询业务7告警名称包含CPU或内存的告警（简化写法）
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""alert_name"",
      ""value"": [""CPU"", ""内存""],
      ""method"": ""include""
    }
  ]
}","1. value 数组包含多个值
2. 返回告警名称包含""CPU""或""内存""的告警"
LA-015,按负责人筛选,查询特定负责人的告警,"用户输入：查询业务7负责人为admin的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""username"": ""admin""
}","1. 正确使用 username 参数
2. 返回的告警 assignee 包含 ""admin"""
LA-016,按策略名筛选,通过conditions按策略名过滤,"用户输入：查询业务7策略名包含""主机监控""的告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""strategy_name"",
      ""value"": [""主机监控""],
      ""method"": ""include""
    }
  ]
}","1. key 设置为 ""strategy_name""
2. 返回相关策略的告警"
LA-017,按IP地址筛选,通过conditions按IP过滤告警,"用户输入：查询业务7 IP为10.0.0.1的主机告警
预期调用：list_alerts
参数：{
  ""bk_biz_id"": ""7"",
  ""conditions"": [
    {
      ""key"": ""ip"",
      ""value"": [""10.0.0.1""],
      ""method"": ""eq""
    }
  ]
}","1. key 设置为 ""ip""
2. 返回指定IP的告警"
